epoch,loss,out_power_loss,out_power_mae_mw,out_power_mismatch_mae_mw,out_power_normalized_mismatch,out_status_binary_accuracy,out_status_loss,out_status_precision,out_status_recall,val_loss,val_out_power_loss,val_out_power_mae_mw,val_out_power_mismatch_mae_mw,val_out_power_normalized_mismatch,val_out_status_binary_accuracy,val_out_status_loss,val_out_status_precision,val_out_status_recall
0,4.395543575286865,0.2655722200870514,35.507972717285156,1.7062668800354004,0.00047095338231883943,0.7112483978271484,4.395424842834473,0.5364760160446167,0.951668918132782,4.23512601852417,0.26556316018104553,35.497779846191406,1.618299961090088,0.0004466730169951916,0.72212815284729,4.233317852020264,0.5472698211669922,0.9537127614021301
1,4.320457935333252,0.2745290696620941,36.705543518066406,1.8660329580307007,0.0005150505458004773,0.7188191413879395,4.320329666137695,0.5429859757423401,0.961504340171814,4.315653324127197,0.2804192304611206,37.48329544067383,2.1332156658172607,0.0005887967417947948,0.7202752828598022,4.313623905181885,0.5449064373970032,0.9657779932022095
2,4.343064785003662,0.2825184464454651,37.77378845214844,2.136054754257202,0.0005895805079489946,0.7191480994224548,4.342917442321777,0.5429616570472717,0.9682723879814148,4.28945255279541,0.2710908353328705,36.230567932128906,2.0417723655700684,0.0005635569104924798,0.720359742641449,4.288121700286865,0.5452563762664795,0.9604569673538208
3,4.293750762939453,0.27057600021362305,36.17698287963867,2.2819252014160156,0.0006298425723798573,0.722213625907898,4.293595314025879,0.5457503199577332,0.9690460562705994,4.299435615539551,0.26852771639823914,35.891624450683594,2.2354753017425537,0.0006170218694023788,0.7215661406517029,4.295142650604248,0.5459545254707336,0.9686159491539001
4,4.362213134765625,0.2672874629497528,35.737342834472656,2.345623016357422,0.0006474237306974828,0.7189340591430664,4.36205530166626,0.5425084233283997,0.9736643433570862,4.324466228485107,0.2635267972946167,35.22233581542969,2.453981399536133,0.0006773325148969889,0.7217109203338623,4.321138858795166,0.5457716584205627,0.974754810333252
5,4.33401346206665,0.2643222510814667,35.340850830078125,2.446851968765259,0.0006753646302968264,0.7213225364685059,4.3338470458984375,0.5445797443389893,0.9759576320648193,4.31948709487915,0.26205337047576904,35.031829833984375,2.4496819972991943,0.0006761458935216069,0.7202520966529846,4.315863609313965,0.5447496771812439,0.9684559106826782
6,4.3438286781311035,0.2617197632789612,34.99289321899414,2.3617074489593506,0.0006518640439026058,0.7204886674880981,4.343664646148682,0.543856680393219,0.9751326441764832,4.478157997131348,0.2652739882469177,35.467498779296875,2.3699917793273926,0.0006541500915773213,0.7133586406707764,4.472896575927734,0.5380032062530518,0.9795851111412048
7,4.351423263549805,0.26102256774902344,34.89973068237305,2.3049240112304688,0.0006361906416714191,0.7198783159255981,4.351265907287598,0.543338418006897,0.974329948425293,4.321929454803467,0.25773531198501587,34.45677947998047,2.093226432800293,0.0005777591140940785,0.7208911776542664,4.318446636199951,0.5452566146850586,0.9700711369514465
8,4.350613594055176,0.25867050886154175,34.585201263427734,2.2836875915527344,0.0006303290720097721,0.7196128964424133,4.350457191467285,0.5431731939315796,0.9727141261100769,4.32866096496582,0.2594694495201111,34.679752349853516,2.0838260650634766,0.0005751646240241826,0.7201717495918274,4.325368881225586,0.544657289981842,0.9688214659690857
9,4.330501556396484,0.25830480456352234,34.536293029785156,1.8833142518997192,0.0005198204889893532,0.7201154828071594,4.3303704261779785,0.5437663793563843,0.9699956178665161,4.3336896896362305,0.2569146156311035,34.34376907348633,1.8203436136245728,0.0005024397978559136,0.7195770740509033,4.330202579498291,0.5441272854804993,0.968487024307251
10,4.370907306671143,0.2561844289302826,34.2528076171875,1.8095464706420898,0.0004994597402401268,0.7175782322883606,4.370779037475586,0.5414028167724609,0.9709060192108154,4.385838985443115,0.25786757469177246,34.47123336791992,1.8193628787994385,0.0005021690158173442,0.7154941558837891,4.382005214691162,0.5405192971229553,0.9658716917037964
