epoch,learning_rate,loss,out_power_loss,out_power_mae_mw,out_power_mismatch_mae_mw,out_power_normalized_mismatch,out_status_binary_accuracy,out_status_loss,out_status_precision,out_status_recall,val_loss,val_out_power_loss,val_out_power_mae_mw,val_out_power_mismatch_mae_mw,val_out_power_normalized_mismatch,val_out_status_binary_accuracy,val_out_status_loss,val_out_status_precision,val_out_status_recall
0,2.9999999242136255e-05,4.808964252471924,0.26261094212532043,35.1120719909668,1.9226298332214355,0.0005306722596287727,0.7038933634757996,4.543697834014893,0.5296253561973572,0.9585565328598022,4.740874767303467,0.24273145198822021,32.45332717895508,2.3358070850372314,0.000644714804366231,0.7085028290748596,4.492273807525635,0.5343016386032104,0.9641567468643188
1,2.9999999242136255e-05,4.563717842102051,0.21766570210456848,29.102718353271484,2.311954975128174,0.0006381310522556305,0.7185080647468567,4.342861652374268,0.5425192713737488,0.9652424454689026,4.529020309448242,0.19839422404766083,26.517818450927734,2.431124448776245,0.0006710236775688827,0.7200159430503845,4.325468063354492,0.5446003079414368,0.9671028256416321
2,2.9999999242136255e-05,4.4867706298828125,0.18229299783706665,24.373210906982422,2.4149045944213867,0.0006665469263680279,0.7217162251472473,4.301149845123291,0.5453782677650452,0.9673185348510742,4.499993324279785,0.16899524629116058,22.58820152282715,2.536878824234009,0.000700213189702481,0.7207783460617065,4.324671745300293,0.5451428890228271,0.9702700972557068
3,2.9999999242136255e-05,4.4645209312438965,0.16022302210330963,21.42240333557129,2.485229969024658,0.0006859575514681637,0.7221829891204834,4.300868988037109,0.545722484588623,0.9690297842025757,4.485326766967773,0.15417581796646118,20.60474395751953,2.58648419380188,0.0007139051449485123,0.7209228277206421,4.324925899505615,0.5452457666397095,0.970859706401825
4,2.9999999242136255e-05,4.457213401794434,0.14929735660552979,19.961599349975586,2.500425338745117,0.0006901513552293181,0.7220725417137146,4.304464340209961,0.5455948710441589,0.9695420861244202,4.480756759643555,0.1460127830505371,19.50928497314453,2.5868148803710938,0.0007139962981455028,0.7207744121551514,4.329195976257324,0.5450989603996277,0.9710637927055359
5,2.9999999242136255e-05,4.466180324554443,0.14352786540985107,19.190195083618164,2.4909183979034424,0.0006875275867059827,0.7213506698608398,4.319218158721924,0.5448879599571228,0.9703074097633362,4.474752902984619,0.14202862977981567,18.978492736816406,2.54052996635437,0.0007012212881818414,0.7206987142562866,4.325775623321533,0.5450722575187683,0.9702144265174866
6,2.9999999242136255e-05,4.456327438354492,0.14062273502349854,18.80179214477539,2.4836151599884033,0.0006855112733319402,0.7214596271514893,4.3122758865356445,0.5450608730316162,0.9688845872879028,4.472031593322754,0.1395764946937561,18.652637481689453,2.5555169582366943,0.0007053576991893351,0.7206929326057434,4.324965000152588,0.5450843572616577,0.9698716402053833
7,2.9999999242136255e-05,4.46078634262085,0.13846558332443237,18.51336097717285,2.468109607696533,0.0006812326028011739,0.7212766408920288,4.318909168243408,0.5448541641235352,0.9696241617202759,4.515477180480957,0.1381751447916031,18.465272903442383,2.4854769706726074,0.0006860255962237716,0.7183322906494141,4.369410037994385,0.5428362488746643,0.9715958833694458
8,2.9999999242136255e-05,4.482243537902832,0.13720108568668365,18.344301223754883,2.408148765563965,0.0006646821857430041,0.7200890779495239,4.341719150543213,0.5437183976173401,0.9704840779304504,4.497509002685547,0.13642746210098267,18.229909896850586,2.4829602241516113,0.0006853309459984303,0.7192811965942383,4.353725433349609,0.5437190532684326,0.9712651371955872
9,2.9999999242136255e-05,4.481414318084717,0.13603544235229492,18.18843650817871,2.409168243408203,0.0006649633287452161,0.7201120853424072,4.342052936553955,0.5437262058258057,0.9707473516464233,4.51473331451416,0.13562485575675964,18.1219539642334,2.479053497314453,0.000684252823702991,0.718214213848114,4.371627330780029,0.5427254438400269,0.9716663360595703
