epoch,learning_rate,loss,out_power_loss,out_power_mae_mw,out_power_mismatch_mae_mw,out_power_normalized_mismatch,out_status_binary_accuracy,out_status_loss,out_status_precision,out_status_recall,val_loss,val_out_power_loss,val_out_power_mae_mw,val_out_power_mismatch_mae_mw,val_out_power_normalized_mismatch,val_out_status_binary_accuracy,val_out_status_loss,val_out_status_precision,val_out_status_recall
0,2.9999999242136255e-05,5.302711486816406,0.2450224608182907,32.76040267944336,507.1351318359375,0.13997621834278107,0.7438956499099731,3.657924175262451,0.5734142661094666,0.8898002505302429,5.254599094390869,0.24463911354541779,32.69655990600586,486.3822021484375,0.13424819707870483,0.7435574531555176,3.6687397956848145,0.5737672448158264,0.8912322521209717
1,2.9999999242136255e-05,5.260918140411377,0.242890402674675,32.4753532409668,484.21905517578125,0.13365112245082855,0.74430251121521,3.6815152168273926,0.5732085108757019,0.8967918753623962,5.20320463180542,0.23689004778862,31.65399932861328,475.74493408203125,0.13131210207939148,0.7457423806190491,3.6548967361450195,0.5760048031806946,0.8932556509971619
2,2.9999999242136255e-05,5.226187705993652,0.2404133528470993,32.14411544799805,474.84185791015625,0.13106277585029602,0.7455490231513977,3.6751461029052734,0.5745533108711243,0.8971619009971619,5.2310471534729,0.24200092256069183,32.34358215332031,471.7403564453125,0.13020679354667664,0.7446468472480774,3.688490390777588,0.5744110345840454,0.8971512317657471
3,2.9999999242136255e-05,5.202968597412109,0.24010786414146423,32.103302001953125,468.89447021484375,0.12942133843898773,0.7457956075668335,3.668649196624756,0.5748249292373657,0.8971778154373169,5.193312168121338,0.24091124534606934,32.19491958618164,459.84344482421875,0.1269230842590332,0.7453476786613464,3.684743642807007,0.5748908519744873,0.900234580039978
4,2.9999999242136255e-05,5.161348342895508,0.23891225457191467,31.943466186523438,459.9969482421875,0.12696528434753418,0.7464704513549805,3.652782440185547,0.5756964087486267,0.8959313035011292,5.159683704376221,0.23940429091453552,31.997528076171875,459.0562744140625,0.12670579552650452,0.7463148236274719,3.654592275619507,0.5763438940048218,0.8963037729263306
5,2.9999999242136255e-05,5.164941787719727,0.2390078902244568,31.956233978271484,461.15753173828125,0.1272859424352646,0.7464048266410828,3.653071165084839,0.5755995512008667,0.8961741328239441,5.171783924102783,0.24023845791816711,32.11130142211914,463.5242919921875,0.12793904542922974,0.745512068271637,3.653327703475952,0.5756617188453674,0.8941370248794556
6,2.9999999242136255e-05,5.164339542388916,0.2367629110813141,31.656082153320312,472.3047790527344,0.13036255538463593,0.7457188963890076,3.6239511966705322,0.5758375525474548,0.8858786225318909,5.1783037185668945,0.23656868934631348,31.612478256225586,482.451904296875,0.13316330313682556,0.7456998229026794,3.6116085052490234,0.5770981311798096,0.8817822933197021
7,2.9999999242136255e-05,5.164740085601807,0.23610204458236694,31.56772232055664,474.9845886230469,0.1311022937297821,0.7460582256317139,3.617612600326538,0.5763506889343262,0.884571373462677,5.155588626861572,0.2360527664422989,31.543413162231445,470.9729309082031,0.1299949437379837,0.7460893988609314,3.621058225631714,0.5772362947463989,0.8847904801368713
8,2.9999999242136255e-05,5.107311725616455,0.23531803488731384,31.46290397644043,450.4795227050781,0.12433856725692749,0.7467058300971985,3.6286094188690186,0.5765352249145508,0.8900750279426575,5.134593963623047,0.23717351257801056,31.689491271972656,460.8317565917969,0.12719589471817017,0.7464037537574768,3.627241373062134,0.5771444439888,0.8892357349395752
9,2.9999999242136255e-05,5.153424263000488,0.23775246739387512,31.788372039794922,458.4514465332031,0.12653887271881104,0.7463353276252747,3.6502788066864014,0.5759026408195496,0.8922730088233948,5.186230659484863,0.23936867713928223,31.995786666870117,459.60015869140625,0.12685593962669373,0.7452366948127747,3.6793015003204346,0.57548987865448,0.8927486538887024
10,2.9999999242136255e-05,5.284905910491943,0.2438909411430359,32.609127044677734,461.89459228515625,0.1274891197681427,0.7401226758956909,3.7661218643188477,0.5690329670906067,0.8921642303466797,5.396204471588135,0.24932356178760529,33.32334518432617,480.47479248046875,0.13261759281158447,0.7359399199485779,3.821481466293335,0.5654361248016357,0.8911854028701782
11,2.9999999242136255e-05,5.382999420166016,0.24842068552970886,33.21476745605469,479.3177185058594,0.1322983354330063,0.7368727326393127,3.8115949630737305,0.565456211566925,0.892673909664154,5.319429874420166,0.2449958473443985,32.740211486816406,474.78619384765625,0.13104750216007233,0.739834189414978,3.765195369720459,0.5695918202400208,0.8920310139656067
12,2.9999999242136255e-05,5.309818744659424,0.24438832700252533,32.67560958862305,471.81121826171875,0.13022646307945251,0.7402054071426392,3.7631659507751465,0.5690256357192993,0.8932750821113586,5.2937750816345215,0.24418243765830994,32.63157653808594,467.4555358886719,0.12902411818504333,0.7403003573417664,3.760627031326294,0.5700436234474182,0.8926804661750793
13,2.9999999242136255e-05,5.2988362312316895,0.24532131850719452,32.80034255981445,459.67327880859375,0.12687598168849945,0.7390052676200867,3.784754991531372,0.5677034258842468,0.8934319615364075,5.316969871520996,0.24781543016433716,33.12129211425781,453.9782409667969,0.1253042370080948,0.736807107925415,3.8167943954467773,0.5662956237792969,0.8921011090278625
