epoch,loss,out_power_loss,out_power_mae_mw,out_power_mismatch_mae_mw,out_power_normalized_mismatch,out_status_binary_accuracy,out_status_loss,out_status_precision,out_status_recall,val_loss,val_out_power_loss,val_out_power_mae_mw,val_out_power_mismatch_mae_mw,val_out_power_normalized_mismatch,val_out_status_binary_accuracy,val_out_status_loss,val_out_status_precision,val_out_status_recall
0,4.05627965927124,0.2239932417869568,29.948715209960938,0.5398263931274414,0.00014899954840075225,0.7293480634689331,4.056240081787109,0.5557274222373962,0.9173606038093567,4.004329681396484,0.20611727237701416,27.57305908203125,0.11047206819057465,3.049181032110937e-05,0.7354405522346497,4.000699043273926,0.5621412396430969,0.9261801838874817
1,3.8589606285095215,0.1984419971704483,26.532440185546875,0.7804429531097412,0.000215413179830648,0.7436233162879944,3.858907461166382,0.5696871280670166,0.9279389381408691,3.660806179046631,0.18750923871994019,25.08417510986328,1.752968430519104,0.0004838432651013136,0.7555994987487793,3.65558123588562,0.5829930901527405,0.9320319294929504
2,3.671130895614624,0.1788088083267212,23.907390594482422,1.4431993961334229,0.00039834354538470507,0.7564581632614136,3.6710312366485596,0.5824588537216187,0.9384700059890747,3.688974142074585,0.17495213449001312,23.402027130126953,1.9110268354415894,0.000527469499502331,0.7572858333587646,3.683612585067749,0.5834787487983704,0.945095419883728
3,3.671112537384033,0.17381292581558228,23.23943328857422,1.8033419847488403,0.0004977468051947653,0.758822500705719,3.670987129211426,0.5843097567558289,0.9454843401908875,3.623642683029175,0.17225764691829681,23.03582191467285,1.8806122541427612,0.0005190747324377298,0.7628677487373352,3.6218411922454834,0.5891209840774536,0.9492781758308411
4,3.7271132469177246,0.1759093552827835,23.519739151000977,2.0869855880737305,0.0005760366329923272,0.7567343711853027,3.7269692420959473,0.5816398859024048,0.9495190978050232,3.7207295894622803,0.17567825317382812,23.488508224487305,1.8249809741973877,0.0005037197843194008,0.7566990256309509,3.7208290100097656,0.5826212167739868,0.9472825527191162
5,3.7506136894226074,0.17812663316726685,23.816186904907227,2.3549091815948486,0.0006499868468381464,0.7561352252960205,3.7504496574401855,0.5806345343589783,0.9531936645507812,3.694512128829956,0.17496323585510254,23.404129028320312,2.263011932373047,0.000624622218310833,0.7598179578781128,3.691865921020508,0.5852579474449158,0.9543194770812988
6,3.841049909591675,0.18211886286735535,24.34996795654297,2.3915905952453613,0.0006601117202080786,0.7498645782470703,3.8408870697021484,0.5742559432983398,0.950588583946228,3.8609299659729004,0.1818840652704239,24.327178955078125,2.3894479274749756,0.0006595203303731978,0.7489452362060547,3.859368085861206,0.574244499206543,0.9488699436187744
7,3.8466975688934326,0.18180394172668457,24.30787467956543,2.269217014312744,0.0006263349787332118,0.7500618696212769,3.846543073654175,0.5742813944816589,0.9526128172874451,3.9406180381774902,0.18450476229190826,24.6635684967041,1.9110907316207886,0.0005274871364235878,0.7445691823959351,3.9386863708496094,0.5694019198417664,0.9525576829910278
8,3.81856369972229,0.18549586832523346,24.801485061645508,2.117647171020508,0.0005844998522661626,0.7506975531578064,3.818418025970459,0.5751749873161316,0.9500853419303894,3.3579249382019043,0.17883341014385223,23.913331985473633,1.9872685670852661,0.0005485134315676987,0.7757337093353271,3.3574018478393555,0.6048848032951355,0.9397066831588745
9,3.6614668369293213,0.19116979837417603,25.560100555419922,2.4562184810638428,0.0006779495743103325,0.7584848403930664,3.661294460296631,0.5842231512069702,0.9427953958511353,3.965362548828125,0.20343580842018127,27.207555770874023,3.9759860038757324,0.0010974265169352293,0.740867018699646,3.9627256393432617,0.5662808418273926,0.9444056749343872
10,3.6201722621917725,0.19362260401248932,25.888063430786133,2.708568572998047,0.0007476009777747095,0.7574577331542969,3.619985580444336,0.5845512747764587,0.9289513826370239,3.6303160190582275,0.1952957659959793,26.123008728027344,2.897595167160034,0.0007997758802957833,0.7580990791320801,3.6244215965270996,0.5861309766769409,0.9284763932228088
11,3.4789340496063232,0.19158770143985748,25.615985870361328,2.5903351306915283,0.0007149677840061486,0.7664499282836914,3.478759288787842,0.5946438312530518,0.9293929934501648,3.443277359008789,0.19012504816055298,25.41300392150879,2.6788737773895264,0.0007394056883640587,0.767483115196228,3.43982195854187,0.5967990159988403,0.9281400442123413
12,3.4341278076171875,0.18862715363502502,25.220155715942383,2.716852903366089,0.0007498883060179651,0.7693061232566833,3.4339418411254883,0.597599446773529,0.9320870637893677,3.369624614715576,0.18606741726398468,24.884906768798828,3.1248979568481445,0.0008625148329883814,0.7762008905410767,3.36492657661438,0.6050223112106323,0.9427343606948853
13,3.589951992034912,0.1965446174144745,26.278764724731445,2.804028272628784,0.000773951003793627,0.7600463628768921,3.5897538661956787,0.5870130062103271,0.9327926635742188,3.7049543857574463,0.20491942763328552,27.399578094482422,2.9328320026397705,0.0008095013909041882,0.7513267993927002,3.6998865604400635,0.5788291096687317,0.9271014332771301
14,3.6540238857269287,0.20389311015605927,27.261259078979492,3.1431548595428467,0.0008675531134940684,0.7568648457527161,3.653806686401367,0.5834997296333313,0.9327079057693481,3.581115245819092,0.19665664434432983,26.29057502746582,3.204157829284668,0.000884391600266099,0.7624823451042175,3.5796103477478027,0.5894687175750732,0.9423312544822693
