epoch,learning_rate,loss,out_power_loss,out_power_mae_mw,out_power_mismatch_mae_mw,out_power_normalized_mismatch,out_status_binary_accuracy,out_status_loss,out_status_precision,out_status_recall,val_loss,val_out_power_loss,val_out_power_mae_mw,val_out_power_mismatch_mae_mw,val_out_power_normalized_mismatch,val_out_status_binary_accuracy,val_out_status_loss,val_out_status_precision,val_out_status_recall
0,2.9999999242136255e-05,3.6153523921966553,0.09319545328617096,12.460583686828613,0.016474392265081406,4.547154276224319e-06,0.7688532471656799,3.52213716506958,0.5913968086242676,0.9805883169174194,3.625964403152466,0.09366551786661148,12.508350372314453,0.0138740548864007,3.829429260804318e-06,0.7688953876495361,3.5287082195281982,0.5920484662055969,0.9819225072860718
1,2.9999999242136255e-05,3.627117872238159,0.09456714987754822,12.643976211547852,0.01566527970135212,4.323828306951327e-06,0.7688820362091064,3.5325300693511963,0.5912092328071594,0.9825834035873413,3.566138744354248,0.09517687559127808,12.708318710327148,0.012961174361407757,3.577461939130444e-06,0.7730467319488525,3.468498468399048,0.5964216589927673,0.9829050302505493
2,2.9999999242136255e-05,3.56847882270813,0.09511051326990128,12.716634750366211,0.015403288416564465,4.25151847593952e-06,0.7726926207542419,3.4733495712280273,0.5952927470207214,0.9828575849533081,3.570282459259033,0.09504133462905884,12.688071250915527,0.013181635178625584,3.6383121368999127e-06,0.7726765275001526,3.4748713970184326,0.5960428714752197,0.98270183801651
3,2.9999999242136255e-05,3.626220703125,0.09527213126420975,12.738239288330078,0.015223986469209194,4.202028776489897e-06,0.7689399123191833,3.530926465988159,0.5912401676177979,0.982870876789093,3.675086259841919,0.09552190452814102,12.755511283874512,0.013242218643426895,3.65503410648671e-06,0.766064465045929,3.5772221088409424,0.5889108180999756,0.9830047488212585
4,2.9999999242136255e-05,3.6732137203216553,0.09514304250478745,12.72098445892334,0.015197308734059334,4.194664597889641e-06,0.7659510970115662,3.5780515670776367,0.5880630016326904,0.9827715158462524,3.6784448623657227,0.09519464522600174,12.711166381835938,0.013422553427517414,3.704808705151663e-06,0.7658696174621582,3.5809199810028076,0.5887176990509033,0.9828804135322571
5,2.9999999242136255e-05,3.683558702468872,0.09524017572402954,12.73396110534668,0.015492131933569908,4.276044364814879e-06,0.7653731107711792,3.5882956981658936,0.5874459147453308,0.9828080534934998,3.698554754257202,0.09559254348278046,12.765138626098633,0.013617738150060177,3.7586814869428053e-06,0.7647210955619812,3.6004066467285156,0.5874740481376648,0.9831550121307373
6,2.9999999242136255e-05,3.692828893661499,0.09561208635568619,12.78368091583252,0.015508291311562061,4.280503617337672e-06,0.7648738026618958,3.597196102142334,0.5869026184082031,0.9829579591751099,3.698615312576294,0.0957857221364975,12.791081428527832,0.013333999551832676,3.6803664897888666e-06,0.7647179961204529,3.600273847579956,0.5874796509742737,0.9830701351165771
7,2.9999999242136255e-05,3.6913797855377197,0.0955510288476944,12.775527954101562,0.0155708072707057,4.297754003346199e-06,0.7649734616279602,3.5958054065704346,0.5870070457458496,0.9829602837562561,3.694620370864868,0.09577152132987976,12.788094520568848,0.012992353178560734,3.586067350624944e-06,0.7648427486419678,3.5966436862945557,0.5876997709274292,0.9822258949279785
8,2.9999999242136255e-05,3.678244113922119,0.09544637799263,12.761548042297363,0.01594638079404831,4.401417754706927e-06,0.7658060193061829,3.582770586013794,0.5878890156745911,0.9829617142677307,3.608582019805908,0.09546086937189102,12.74673843383789,0.013645293191075325,3.766287363760057e-06,0.7703705430030823,3.5118281841278076,0.5935227870941162,0.9829217195510864
9,2.9999999242136255e-05,3.639787197113037,0.09563404321670532,12.786633491516113,0.015858300030231476,4.377109235065291e-06,0.7685445547103882,3.5441348552703857,0.590756893157959,0.9834109544754028,3.612365961074829,0.09595095366239548,12.812775611877441,0.01284331176429987,3.544930223142728e-06,0.7703880071640015,3.5151615142822266,0.5935802459716797,0.9825793504714966
10,1.4999999621068127e-05,3.609682083129883,0.09577444195747375,12.805394172668457,0.01593470573425293,4.3981981434626505e-06,0.7705570459365845,3.5138871669769287,0.5928778648376465,0.9837712645530701,3.623121976852417,0.09599445760250092,12.819948196411133,0.013496377505362034,3.725185024450184e-06,0.7699204683303833,3.5254440307617188,0.5929062962532043,0.9840971231460571
11,1.4999999621068127e-05,3.6101391315460205,0.0957997590303421,12.80877685546875,0.01595916785299778,4.404947958391858e-06,0.7705129981040955,3.514319896697998,0.5928245186805725,0.983818769454956,3.625286340713501,0.09606536477804184,12.829538345336914,0.013496371917426586,3.7251834328344557e-06,0.7697746753692627,3.5274975299835205,0.5927495360374451,0.9840990304946899
12,1.4999999621068127e-05,3.613276481628418,0.09589820355176926,12.821952819824219,0.015944594517350197,4.400924808578566e-06,0.7703258991241455,3.5173518657684326,0.5926163196563721,0.9838823676109314,3.6147563457489014,0.09599323570728302,12.819677352905273,0.013802544213831425,3.8096907246654155e-06,0.7703660726547241,3.517167806625366,0.5934256315231323,0.9837386012077332
13,1.4999999621068127e-05,3.608154296875,0.09606587886810303,12.844361305236816,0.01555765699595213,4.294124209991423e-06,0.7706416249275208,3.5120692253112793,0.5929461717605591,0.9839734435081482,3.6104860305786133,0.09633268415927887,12.8652982711792,0.013955824077129364,3.851997917081462e-06,0.7707112431526184,3.5125911235809326,0.5937487483024597,0.9841676354408264
14,1.4999999621068127e-05,3.6102004051208496,0.09610921889543533,12.85016918182373,0.015434554778039455,4.260145033185836e-06,0.7705854773521423,3.5140678882598877,0.5928752422332764,0.9840669631958008,3.617526054382324,0.09648336470127106,12.885703086853027,0.01357797347009182,3.7477070691238623e-06,0.7704426050186157,3.5194168090820312,0.5934227705001831,0.9844960570335388
15,1.4999999621068127e-05,3.5788049697875977,0.09619501978158951,12.861632347106934,0.015521028079092503,4.284012447897112e-06,0.7727709412574768,3.4825870990753174,0.5951977968215942,0.9844125509262085,3.555279016494751,0.09593410789966583,12.813143730163574,0.014037393033504486,3.874512458423851e-06,0.7744132280349731,3.4564614295959473,0.5977143049240112,0.9845675230026245
16,1.4999999621068127e-05,3.5629682540893555,0.09590517729520798,12.822867393493652,0.015352074056863785,4.237379926053109e-06,0.7737311720848083,3.467043399810791,0.5962461233139038,0.984381377696991,3.577848434448242,0.0958549976348877,12.802446365356445,0.013250002637505531,3.6571818782249466e-06,0.7728200554847717,3.478844404220581,0.5960193872451782,0.98424232006073
17,1.4999999621068127e-05,3.569654703140259,0.09591894596815109,12.824718475341797,0.015246116556227207,4.2081373976543546e-06,0.7733387351036072,3.4737141132354736,0.5958176851272583,0.9843959212303162,3.5707249641418457,0.09606213867664337,12.830028533935547,0.013336986303329468,3.6811902646149974e-06,0.7736112475395203,3.4719419479370117,0.5968625545501709,0.9843824505805969
18,1.4999999621068127e-05,3.5506887435913086,0.09594016522169113,12.827558517456055,0.015331234782934189,4.231631919537904e-06,0.7748141884803772,3.4547274112701416,0.5974273681640625,0.9843833446502686,3.526343822479248,0.09618525207042694,12.844554901123047,0.013107585720717907,3.6178728350932943e-06,0.7766928672790527,3.4283695220947266,0.6001996994018555,0.9846598505973816
19,1.4999999621068127e-05,3.5757734775543213,0.09621924161911011,12.864870071411133,0.014726596884429455,4.0647432797413785e-06,0.7733051180839539,3.4795360565185547,0.5957962870597839,0.9842634201049805,3.6588683128356934,0.09664445370435715,12.899468421936035,0.013033006340265274,3.597288014134392e-06,0.7677105665206909,3.5613248348236084,0.5904907584190369,0.9845786690711975
20,1.4999999621068127e-05,3.6665356159210205,0.09664847701787949,12.922262191772461,0.014341780915856361,3.958526576752774e-06,0.767310380935669,3.569866895675659,0.5892870426177979,0.9848307371139526,3.6638576984405518,0.09697664529085159,12.946968078613281,0.013210366480052471,3.6462417938309954e-06,0.7679483890533447,3.5658016204833984,0.5907303094863892,0.9847029447555542
21,1.4999999621068127e-05,3.661055564880371,0.0967668741941452,12.93808650970459,0.014709153212606907,4.05992705054814e-06,0.768336296081543,3.5642683506011963,0.5903763175010681,0.98486328125,3.668119192123413,0.09695013612508774,12.948397636413574,0.012967357411980629,3.579167696443619e-06,0.7680604457855225,3.569831609725952,0.5908374190330505,0.9848156571388245
22,1.4999999621068127e-05,3.620656967163086,0.09644299000501633,12.894775390625,0.01465616188943386,4.045300102006877e-06,0.7710763812065125,3.5241963863372803,0.5933053493499756,0.9849503040313721,3.5323708057403564,0.09601666778326035,12.824087142944336,0.012612676247954369,3.481270596239483e-06,0.7766597270965576,3.4339730739593506,0.6000930666923523,0.9852359294891357
23,1.4999999621068127e-05,3.5325262546539307,0.0957966223359108,12.808362007141113,0.014425559900701046,3.9816527532821056e-06,0.7766408324241638,3.4367117881774902,0.599334180355072,0.9851841330528259,3.5385260581970215,0.09577319025993347,12.791179656982422,0.013089917600154877,3.6129963518760633e-06,0.7763581275939941,3.440248489379883,0.5997171401977539,0.9856051802635193
24,1.4999999621068127e-05,3.545975685119629,0.09572018682956696,12.798134803771973,0.014374532736837864,3.967566954088397e-06,0.7756211757659912,3.45023512840271,0.5982234477996826,0.9851165413856506,3.551699161529541,0.09573640674352646,12.786300659179688,0.012250714935362339,3.381364194865455e-06,0.7750363349914551,3.453582286834717,0.5982615947723389,0.9856808185577393
25,1.4999999621068127e-05,3.555436611175537,0.09576892107725143,12.804658889770508,0.014460749924182892,3.991360244981479e-06,0.7748314738273621,3.4596495628356934,0.5973269939422607,0.9853923320770264,3.5482914447784424,0.09584559500217438,12.799044609069824,0.012388935312628746,3.419515223868075e-06,0.7753056883811951,3.4520974159240723,0.598557710647583,0.985665500164032
